Date,NumberofGames,DayofWeek,VisitingTeam,VisitingTeamLeague,VisitingTeamGameNumber,HomeTeam,HomeTeamLeague,HomeTeamGameNumber,VistingTeamScore,HomeTeamScore,NumberofOuts,DayNight,Completition_Information,Forfeit_Information,Protest_Information,BallParkID,Attendance
2000-03-29,0,Wed,CHN,NL,1,NYN,NL,1,5,3,54,N,,,,TOK01,55000
2000-03-30,0,Thu,NYN,NL,2,CHN,NL,2,5,1,66,N,,,,TOK01,55000
2000-04-03,0,Mon,COL,NL,1,ATL,NL,1,0,2,51,D,,,,ATL02,42255
2000-04-03,0,Mon,MIL,NL,1,CIN,NL,1,3,3,31,D,,,,CIN08,55596
2000-04-03,0,Mon,SFN,NL,1,FLO,NL,1,4,6,51,N,,,,MIA01,35101
2000-04-03,0,Mon,LAN,NL,1,MON,NL,1,10,4,54,N,,,,MON02,51249
2000-04-03,0,Mon,SDN,NL,1,NYN,NL,3,1,2,51,D,,,,NYC17,52308
2000-04-03,0,Mon,CHN,NL,3,SLN,NL,1,1,7,51,D,,,,STL09,48156
2000-04-03,0,Mon,NYA,AL,1,ANA,AL,1,3,2,54,N,,,,ANA01,42704
2000-04-03,0,Mon,CLE,AL,1,BAL,AL,1,4,1,54,D,,,,BAL12,46902
2000-04-03,0,Mon,TBA,AL,1,MIN,AL,1,7,0,54,N,,,,MIN03,43830
2000-04-03,0,Mon,DET,AL,1,OAK,AL,1,7,4,54,N,,,,OAK01,53498
2000-04-03,0,Mon,CHA,AL,1,TEX,AL,1,4,10,51,D,,,,ARL02,49332
2000-04-03,0,Mon,KCA,AL,1,TOR,AL,1,4,5,53,D,,,,TOR02,40898
2000-04-04,0,Tue,PHI,NL,1,ARI,NL,1,4,6,51,N,,,,PHO01,44298
2000-04-04,0,Tue,COL,NL,2,ATL,NL,2,5,3,54,N,,,,ATL02,26132
2000-04-04,0,Tue,MIL,NL,2,CIN,NL,2,5,1,54,N,,,,CIN08,16761
2000-04-04,0,Tue,SFN,NL,2,FLO,NL,2,3,0,54,N,,,,MIA01,9524
2000-04-04,0,Tue,LAN,NL,2,MON,NL,2,10,4,54,N,,,,MON02,12143
2000-04-04,0,Tue,HOU,NL,1,PIT,NL,1,5,2,54,N,,,,PIT07,54399
2000-04-04,0,Tue,NYA,AL,2,ANA,AL,2,5,3,54,N,,,,ANA01,25818
2000-04-04,0,Tue,TBA,AL,2,MIN,AL,2,5,6,53,N,,,,MIN03,7020
2000-04-04,0,Tue,DET,AL,2,OAK,AL,2,1,3,51,N,,,,OAK01,10188
2000-04-04,0,Tue,BOS,AL,1,SEA,AL,1,2,0,54,N,,,,SEA03,45552
2000-04-04,0,Tue,CHA,AL,2,TEX,AL,2,8,12,51,N,,,,ARL02,29418
2000-04-04,0,Tue,KCA,AL,2,TOR,AL,2,3,6,51,N,,,,TOR02,13514
2000-04-05,0,Wed,PHI,NL,2,ARI,NL,2,3,11,51,N,,,,PHO01,29291
2000-04-05,0,Wed,COL,NL,3,ATL,NL,3,6,9,51,N,,,,ATL02,30008
2000-04-05,0,Wed,MIL,NL,3,CIN,NL,3,8,5,54,N,,,,CIN08,23059
2000-04-05,0,Wed,SFN,NL,3,FLO,NL,3,11,9,54,N,,,,MIA01,8365
2000-04-05,0,Wed,LAN,NL,3,MON,NL,3,5,6,51,N,,,,MON02,8867
2000-04-05,0,Wed,SDN,NL,2,NYN,NL,4,4,0,54,N,,,,NYC17,17585
2000-04-05,0,Wed,HOU,NL,2,PIT,NL,2,11,2,54,N,,,,PIT07,12208
2000-04-05,0,Wed,CHN,NL,4,SLN,NL,2,4,10,51,N,,,,STL09,38908
2000-04-05,0,Wed,NYA,AL,3,ANA,AL,3,6,12,51,N,,,,ANA01,24560
2000-04-05,0,Wed,CLE,AL,2,BAL,AL,2,7,11,51,N,,,,BAL12,33833
2000-04-05,0,Wed,TBA,AL,3,MIN,AL,3,7,10,51,N,,,,MIN03,7089
2000-04-05,0,Wed,DET,AL,3,OAK,AL,3,2,8,51,D,,,,OAK01,10229
2000-04-05,0,Wed,BOS,AL,2,SEA,AL,2,3,9,51,N,,,,SEA03,29242
2000-04-05,0,Wed,CHA,AL,3,TEX,AL,3,12,8,54,D,,,,ARL02,25544
2000-04-05,0,Wed,KCA,AL,3,TOR,AL,3,4,3,54,N,,,,TOR02,14957
2000-04-06,0,Thu,PHI,NL,3,ARI,NL,3,2,3,65,N,,,,PHO01,28774
2000-04-06,0,Thu,MIL,NL,4,CIN,NL,4,1,5,51,N,,,,CIN08,20909
2000-04-06,0,Thu,SFN,NL,4,FLO,NL,4,4,5,53,D,,,,MIA01,7741
2000-04-06,0,Thu,LAN,NL,4,MON,NL,4,3,11,51,N,,,,MON02,9121
2000-04-06,0,Thu,SDN,NL,3,NYN,NL,5,8,5,54,N,,,,NYC17,17482
2000-04-06,0,Thu,HOU,NL,3,PIT,NL,3,1,10,51,D,,,,PIT07,11860
2000-04-06,0,Thu,CHN,NL,5,SLN,NL,3,3,13,51,D,,,,STL09,40589
2000-04-06,0,Thu,CLE,AL,3,BAL,AL,3,2,6,51,N,,,,BAL12,35181
2000-04-06,0,Thu,TBA,AL,4,MIN,AL,4,7,6,54,D,,,,MIN03,8763
2000-04-06,0,Thu,BOS,AL,3,SEA,AL,3,2,5,51,N,,,,SEA03,25121
2000-04-06,0,Thu,CHA,AL,4,TEX,AL,4,6,2,54,N,,,,ARL02,28466
2000-04-06,0,Thu,KCA,AL,4,TOR,AL,4,9,3,54,D,,,,TOR02,14336
2000-04-07,0,Fri,PIT,NL,4,ARI,NL,4,7,2,54,N,,,,PHO01,32536
2000-04-07,0,Fri,SFN,NL,5,ATL,NL,4,6,2,54,N,,,,ATL02,35343
2000-04-07,0,Fri,CHN,NL,6,CIN,NL,5,10,6,54,N,,,,CIN08,36383
2000-04-07,0,Fri,COL,NL,4,FLO,NL,5,3,4,51,N,,,,MIA01,13803
2000-04-07,0,Fri,PHI,NL,4,HOU,NL,4,4,1,54,N,,,,HOU03,41583
2000-04-07,0,Fri,SDN,NL,4,MON,NL,5,10,5,54,N,,,,MON02,12260
2000-04-07,0,Fri,LAN,NL,5,NYN,NL,6,1,2,51,N,,,,NYC17,27791
2000-04-07,0,Fri,MIL,NL,5,SLN,NL,4,9,1,54,N,,,,STL09,33089
2000-04-07,0,Fri,BOS,AL,4,ANA,AL,4,3,7,51,N,,,,ANA01,30412
2000-04-07,0,Fri,DET,AL,4,BAL,AL,4,10,14,51,N,,,,BAL12,39415
2000-04-07,0,Fri,MIN,AL,5,KCA,AL,5,6,10,51,D,,,,KAN06,40474
2000-04-07,0,Fri,CHA,AL,5,OAK,AL,4,7,6,54,N,,,,OAK01,10549
2000-04-07,0,Fri,NYA,AL,4,SEA,AL,4,5,7,51,N,,,,SEA03,40827
2000-04-07,0,Fri,CLE,AL,4,TBA,AL,5,14,5,54,N,,,,STP01,40329
2000-04-07,0,Fri,TOR,AL,5,TEX,AL,5,5,11,51,N,,,,ARL02,31619
2000-04-08,0,Sat,PIT,NL,5,ARI,NL,5,5,6,53,D,,,,PHO01,33298
2000-04-08,0,Sat,SFN,NL,6,ATL,NL,5,5,7,51,N,,,,ATL02,35938
2000-04-08,0,Sat,CHN,NL,7,CIN,NL,6,3,4,65,D,,,,CIN08,37151
2000-04-08,0,Sat,COL,NL,5,FLO,NL,6,4,2,54,N,,,,MIA01,20077
2000-04-08,0,Sat,PHI,NL,5,HOU,NL,5,5,8,51,D,,,,HOU03,39018
2000-04-08,0,Sat,SDN,NL,5,MON,NL,6,9,10,51,D,,,,MON02,13528
2000-04-08,0,Sat,LAN,NL,6,NYN,NL,7,6,5,60,D,,,,NYC17,37814
2000-04-08,0,Sat,MIL,NL,6,SLN,NL,5,8,10,51,D,,,,STL09,40909
2000-04-08,0,Sat,BOS,AL,5,ANA,AL,5,5,7,51,N,,,,ANA01,27369
2000-04-08,0,Sat,DET,AL,5,BAL,AL,5,1,2,58,D,,,,BAL12,42547
2000-04-08,0,Sat,MIN,AL,6,KCA,AL,6,2,5,51,D,,,,KAN06,17133
2000-04-08,0,Sat,CHA,AL,6,OAK,AL,5,7,3,54,D,,,,OAK01,13125
2000-04-08,0,Sat,NYA,AL,5,SEA,AL,5,3,2,54,D,,,,SEA03,45261
2000-04-08,0,Sat,CLE,AL,5,TBA,AL,6,6,4,54,D,,,,STP01,30177
2000-04-08,0,Sat,TOR,AL,6,TEX,AL,6,4,0,54,N,,,,ARL02,37128
2000-04-09,0,Sun,PIT,NL,6,ARI,NL,6,0,1,51,D,,,,PHO01,34204
2000-04-09,0,Sun,SFN,NL,7,ATL,NL,6,3,9,51,D,,,,ATL02,32654
2000-04-09,0,Sun,CHN,NL,8,CIN,NL,7,7,8,64,D,,,,CIN08,37798
2000-04-09,0,Sun,COL,NL,6,FLO,NL,7,6,7,51,D,,,,MIA01,16463
2000-04-09,0,Sun,PHI,NL,6,HOU,NL,6,3,2,54,D,,,,HOU03,38784
2000-04-09,0,Sun,SDN,NL,6,MON,NL,7,1,2,51,D,,,,MON02,9782
2000-04-09,0,Sun,MIL,NL,7,SLN,NL,6,2,11,51,D,,,,STL09,48082
2000-04-09,0,Sun,BOS,AL,6,ANA,AL,6,5,2,54,D,,,,ANA01,35847
2000-04-09,0,Sun,DET,AL,6,BAL,AL,6,6,11,51,D,,,,BAL12,42178
2000-04-09,0,Sun,MIN,AL,7,KCA,AL,7,13,7,54,D,,,,KAN06,20480
2000-04-09,0,Sun,CHA,AL,7,OAK,AL,6,2,14,51,D,,,,OAK01,13280
2000-04-09,0,Sun,NYA,AL,6,SEA,AL,6,3,9,51,D,,,,SEA03,45488
2000-04-09,0,Sun,CLE,AL,6,TBA,AL,7,17,4,54,N,,,,STP01,21357
2000-04-09,0,Sun,TOR,AL,7,TEX,AL,7,5,7,51,D,,,,ARL02,40186
2000-04-10,0,Mon,ATL,NL,7,CHN,NL,9,3,4,52,D,,,,CHI11,38655
2000-04-10,0,Mon,CIN,NL,8,COL,NL,7,5,7,51,D,,,,DEN02,48094
2000-04-10,0,Mon,SLN,NL,7,HOU,NL,7,8,7,54,N,,,,HOU03,36324
2000-04-10,0,Mon,FLO,NL,8,MIL,NL,8,3,4,51,D,,,,MIL05,53509
2000-04-10,0,Mon,NYN,NL,8,PHI,NL,7,7,9,51,N,,,,PHI12,47115
2000-04-10,0,Mon,ARI,NL,7,SDN,NL,7,8,4,54,D,,,,SAN01,60021
2000-04-10,0,Mon,TOR,AL,8,ANA,AL,7,0,6,51,N,,,,ANA01,14338
2000-04-10,0,Mon,MIN,AL,8,KCA,AL,8,5,6,51,D,,,,KAN06,13252
2000-04-10,0,Mon,CLE,AL,7,OAK,AL,7,9,4,54,N,,,,OAK01,9123
2000-04-11,0,Tue,CIN,NL,9,COL,NL,8,10,3,54,N,,,,DEN02,40488
2000-04-11,0,Tue,SLN,NL,8,HOU,NL,8,10,6,54,N,,,,HOU03,37463
2000-04-11,0,Tue,MON,NL,8,PIT,NL,7,7,3,54,N,,,,PIT07,11335
2000-04-11,0,Tue,ARI,NL,8,SDN,NL,8,2,3,75,N,,,,SAN01,19035
2000-04-11,0,Tue,LAN,NL,7,SFN,NL,8,6,5,54,D,,,,SFO03,40930
2000-04-11,0,Tue,TOR,AL,9,ANA,AL,8,4,5,51,N,,,,ANA01,15229
2000-04-11,0,Tue,MIN,AL,9,BOS,AL,7,4,13,51,D,,,,BOS07,33114
2000-04-11,0,Tue,SEA,AL,7,DET,AL,7,2,5,51,D,,,,DET05,39168
2000-04-11,0,Tue,BAL,AL,7,KCA,AL,9,5,7,70,N,,,,KAN06,13080
2000-04-11,0,Tue,CLE,AL,8,OAK,AL,8,5,1,54,N,,,,OAK01,8638
2000-04-11,0,Tue,CHA,AL,8,TBA,AL,8,13,6,54,N,,,,STP01,13639
2000-04-12,0,Wed,ATL,NL,8,CHN,NL,10,4,11,51,D,,,,CHI11,26838
2000-04-12,0,Wed,CIN,NL,10,COL,NL,9,5,7,51,D,,,,DEN02,38339
2000-04-12,0,Wed,SLN,NL,9,HOU,NL,9,5,7,51,N,,,,HOU03,38783
2000-04-12,0,Wed,FLO,NL,9,MIL,NL,9,11,4,54,N,,,,MIL05,7007
2000-04-12,0,Wed,NYN,NL,9,PHI,NL,8,5,8,51,N,,,,PHI12,15269
2000-04-12,0,Wed,MON,NL,9,PIT,NL,8,4,6,51,N,,,,PIT07,10290
2000-04-12,0,Wed,ARI,NL,9,SDN,NL,9,2,4,51,N,,,,SAN01,15801
2000-04-12,0,Wed,LAN,NL,8,SFN,NL,9,6,5,54,N,2.00E+11,,,SFO03,40930
2000-04-12,0,Wed,TOR,AL,10,ANA,AL,9,6,2,54,N,,,,ANA01,16494
2000-04-12,0,Wed,MIN,AL,10,BOS,AL,8,3,7,51,N,,,,BOS07,20313
2000-04-12,0,Wed,SEA,AL,8,DET,AL,8,4,0,54,N,,,,DET05,21405
2000-04-12,0,Wed,BAL,AL,8,KCA,AL,10,6,7,51,N,,,,KAN06,15228
2000-04-12,0,Wed,TEX,AL,8,NYA,AL,7,6,8,51,D,,,,NYC16,48487
2000-04-12,0,Wed,CLE,AL,9,OAK,AL,9,5,0,54,D,,,,OAK01,14683
2000-04-12,0,Wed,CHA,AL,9,TBA,AL,9,7,1,54,N,,,,STP01,14034
2000-04-13,0,Thu,ATL,NL,9,CHN,NL,11,2,3,53,D,,,,CHI11,20152
2000-04-13,0,Thu,SLN,NL,10,COL,NL,10,6,12,51,N,,,,DEN02,39365
2000-04-13,0,Thu,FLO,NL,10,MIL,NL,10,0,4,51,N,,,,MIL05,7023
2000-04-13,0,Thu,NYN,NL,10,PHI,NL,9,2,1,54,N,,,,PHI12,14552
2000-04-13,0,Thu,MON,NL,10,PIT,NL,9,3,4,53,N,,,,PIT07,11162
2000-04-13,0,Thu,ARI,NL,10,SDN,NL,10,5,4,54,D,,,,SAN01,28131
2000-04-13,0,Thu,LAN,NL,9,SFN,NL,10,11,7,54,N,,,,SFO03,40930
2000-04-13,0,Thu,MIN,AL,11,BOS,AL,9,3,4,51,N,,,,BOS07,22194
2000-04-13,0,Thu,SEA,AL,9,DET,AL,9,0,2,51,N,,,,DET05,20781
2000-04-13,0,Thu,BAL,AL,9,KCA,AL,11,5,6,52,D,,,,KAN06,23724
2000-04-13,0,Thu,TEX,AL,9,NYA,AL,8,1,5,51,N,,,,NYC16,23805
2000-04-13,0,Thu,CHA,AL,10,TBA,AL,10,5,6,71,D,,,,STP01,15464
2000-04-14,0,Fri,FLO,NL,11,CHN,NL,12,9,4,54,D,,,,CHI11,21324
2000-04-14,0,Fri,SLN,NL,11,COL,NL,11,2,6,51,N,,,,DEN02,40248
2000-04-14,0,Fri,CIN,NL,11,LAN,NL,10,1,8,51,D,,,,LOS03,53223
2000-04-14,0,Fri,ATL,NL,10,MIL,NL,11,6,3,54,N,,,,MIL05,10171
2000-04-14,0,Fri,MON,NL,11,PHI,NL,10,4,0,54,N,,,,PHI12,12366
2000-04-14,0,Fri,NYN,NL,11,PIT,NL,10,8,5,72,N,,,,PIT07,20725
2000-04-14,0,Fri,HOU,NL,10,SDN,NL,11,10,4,54,N,,,,SAN01,30951
2000-04-14,0,Fri,ARI,NL,11,SFN,NL,11,3,1,54,N,,,,SFO03,40930
2000-04-14,0,Fri,OAK,AL,10,BOS,AL,10,13,6,54,N,,,,BOS07,29472
2000-04-14,0,Fri,ANA,AL,10,CHA,AL,11,4,9,51,N,,,,CHI12,38912
2000-04-14,0,Fri,TEX,AL,10,CLE,AL,10,7,2,54,D,,,,CLE08,42727
2000-04-14,0,Fri,TBA,AL,11,DET,AL,10,5,10,51,N,,,,DET05,25043
2000-04-14,0,Fri,BAL,AL,10,MIN,AL,12,9,10,51,N,,,,MIN03,15249
2000-04-14,0,Fri,KCA,AL,12,NYA,AL,9,5,7,51,N,,,,NYC16,33094
2000-04-14,0,Fri,SEA,AL,10,TOR,AL,11,11,9,54,N,,,,TOR02,17306
2000-04-15,0,Sat,FLO,NL,12,CHN,NL,13,2,4,51,D,,,,CHI11,37976
2000-04-15,0,Sat,CIN,NL,12,LAN,NL,11,5,4,54,N,,,,LOS03,51179
2000-04-15,0,Sat,ATL,NL,11,MIL,NL,12,3,6,51,D,,,,MIL05,24755
2000-04-15,0,Sat,NYN,NL,12,PIT,NL,11,0,2,51,D,,,,PIT07,19592
2000-04-15,0,Sat,HOU,NL,11,SDN,NL,12,3,5,51,N,,,,SAN01,45242
2000-04-15,0,Sat,ARI,NL,12,SFN,NL,12,7,4,54,D,,,,SFO03,40930
2000-04-15,0,Sat,OAK,AL,11,BOS,AL,11,2,14,51,D,,,,BOS07,33122
2000-04-15,0,Sat,ANA,AL,11,CHA,AL,12,3,1,54,D,,,,CHI12,14135
2000-04-15,0,Sat,TEX,AL,11,CLE,AL,11,6,4,54,D,,,,CLE08,40543
2000-04-15,0,Sat,TBA,AL,12,DET,AL,11,7,0,54,N,,,,DET05,25969
2000-04-15,0,Sat,BAL,AL,11,MIN,AL,13,6,4,54,N,,,,MIN03,18745
2000-04-15,0,Sat,KCA,AL,13,NYA,AL,10,1,7,51,D,,,,NYC16,34056
2000-04-15,0,Sat,SEA,AL,11,TOR,AL,12,17,6,54,D,,,,TOR02,21754
2000-04-16,0,Sun,FLO,NL,13,CHN,NL,14,6,5,60,D,,,,CHI11,27769
2000-04-16,1,Sun,SLN,NL,12,COL,NL,12,9,3,54,D,,,,DEN02,43029
2000-04-16,2,Sun,SLN,NL,13,COL,NL,13,13,14,51,N,,,,DEN02,35095
2000-04-16,0,Sun,CIN,NL,13,LAN,NL,12,5,3,54,D,,,,LOS03,52594
2000-04-16,0,Sun,ATL,NL,12,MIL,NL,13,2,1,54,D,,,,MIL05,12004
2000-04-16,0,Sun,MON,NL,12,PHI,NL,11,4,5,52,D,,,,PHI12,18648
2000-04-16,0,Sun,NYN,NL,13,PIT,NL,12,12,9,54,D,,,,PIT07,20724
2000-04-16,0,Sun,HOU,NL,12,SDN,NL,13,3,13,51,D,,,,SAN01,46352
2000-04-16,0,Sun,OAK,AL,12,BOS,AL,12,4,5,51,D,,,,BOS07,32385
2000-04-16,0,Sun,ANA,AL,12,CHA,AL,13,3,1,54,D,,,,CHI12,10929
2000-04-16,0,Sun,TEX,AL,12,CLE,AL,12,1,2,52,D,,,,CLE08,40626
2000-04-16,0,Sun,TBA,AL,13,DET,AL,12,7,6,54,D,,,,DET05,24686
2000-04-16,0,Sun,BAL,AL,12,MIN,AL,14,5,0,54,D,,,,MIN03,14066
2000-04-16,0,Sun,KCA,AL,14,NYA,AL,11,4,8,51,D,,,,NYC16,36724
2000-04-16,0,Sun,SEA,AL,12,TOR,AL,13,19,7,54,D,,,,TOR02,15325
2000-04-17,0,Mon,COL,NL,14,ARI,NL,13,9,1,54,N,,,,PHO01,33743
2000-04-17,0,Mon,FLO,NL,14,CHN,NL,15,6,5,54,D,,,,CHI11,17572
2000-04-17,0,Mon,OAK,AL,13,BOS,AL,13,1,0,54,D,,,,BOS07,33240
2000-04-17,0,Mon,NYA,AL,12,TEX,AL,13,5,4,66,N,,,,ARL02,38166
2000-04-17,0,Mon,ANA,AL,13,TOR,AL,14,1,7,51,N,,,,TOR02,13622
